ogc_fid,molen_dbnr,ten_brugge,molen_naam,bouwjaar_1,bouwjaar_2,verdwenen1,verdwenen2,status,type,functie,aandrijvin,infolink,hoofdcat,numeriek
289,1109,503,De Haas/ Molen Rubertus,1841,,1949,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00503,industriemolen,2
290,8796,504,Molen van De Weert,1851,,1932,,verdwenen,stellingmolen,"pelmolen, later ook korenmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00504,industriemolen,2
291,1137,505,De Volharding/ Molen Boersma,1844,,1950,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00505,industriemolen,2
292,1464,506,Molen van Offeringa,1889,,1937,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00506,industriemolen,2
293,6450,507,Garreweersterpolder,1857,,1924,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00507,poldermolen,1
294,26,508,Molen van D. Niehof/ Huizinga,1849,,1953,afgebroken,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00508,industriemolen,2
295,11857,510,Polder Bovendijks,1892,,1928,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00510,poldermolen,1
301,1136,518,Barnheemsterpolder,1868,,1958,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00518,poldermolen,1
302,2949,519,"Ooster Krangeweersterpolder, De Volharding",1857,,1956,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00519,poldermolen,1
303,3030,520,Docterspolder,1915,,1949,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00520,poldermolen,1
304,8479,521,Krangeweersterpolder,1867,,1947,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00521,poldermolen,1
353,1175,586,Molen Immenga/ Imminga,1895,,1951,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00586,industriemolen,2
361,1481,597,Polder de Stadskiel (2e),1868,,1935,,verdwenen,stellingmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00597,poldermolen,1
362,1148,598,Bolwerksmolen,1887,,1945,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00598,industriemolen,2
363,1482,599,"Lintelopolder, Rijkswatermolen",1827,,1945,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00599,poldermolen,1
381,497,624,Polder De Nijverheid (2e),1852,,1948,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00624,poldermolen,1
382,3450,625,Leegwaterpolder (3e),1871,,1937,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00625,poldermolen,1
383,3,626,Noorder Olingerpolder,1871,,1952,afgebroken,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00626,poldermolen,1
384,2970,627,Eva/ Molen van Sikke Norden,1841,,1945,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00627,industriemolen,2
385,1103,628,De Hoop,1851,,1945,,verdwenen,stellingmolen,"zaagmolen, korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00628,industriemolen,2
